osm_id,name,latitude,longitude,source_trail_length (in meters),STATE,STATEFIPS,COUNTY,NATFOREST,route_names,walking_distances (in kilometers),ACCESS_TYP,PARK_NAME,PARK_URL,SUID_NMA,MNG_AG_ID,MNG_AGENCY,MNG_AG_LEV,MNG_AG_TYP,AGNCY_WEB,LAYER,ACRES,LABEL_NAME
7230830,Bronte Place,34.1250945999,-117.554963,33.1104053025,,6,,,"67(OmniTrans),67(OmniTrans),","0.474,0.474,",,,,,,,,,,,,
7300857,Pile Street,33.645508,-117.3648411,273.381810777,,6,,,"8(Riverside Transit Agency),8(Riverside Transit Agency),","0.67,0.671,",,,,,,,,,,,,
13264620,Corral Canyon Trail,34.0333961997,-118.7339712,3547.09300127,,6,,,"534(Los Angeles County Metropolitan Transportation Authority),534(Los Angeles County Metropolitan Transportation Authority),","0.024,0.035,",,,,,,,,,,,,
13272707,,34.1723292997,-118.5307526,58.159735971,,6,,,"154(Los Angeles County Metropolitan Transportation Authority),154(Los Angeles County Metropolitan Transportation Authority),150/240(Los Angeles County Metropolitan Transportation Authority),","0.024,0.036,0.712,",,,,,,,,,,,,
13312863,,34.0536606,-117.8525573,1949.03671199,,6,,,"190(Foothill Transit),","0.799,",Open Access,Walnut City Open Space Lands,,27223,1370,"Walnut, City of",City,City Agency,http://www.ci.walnut.ca.us/general.asp?id=135,City,304.744,Walnut City OS Lands
13341150,Ocean Park Boulevard Path,34.0006376,-118.4865695,72.8810983785,,6,,,"1(Big Blue Bus),8(Big Blue Bus),1(Big Blue Bus),8(Big Blue Bus),1(Big Blue Bus),8(Big Blue Bus),","0.683,0.683,0.559,0.559,0.74,0.74,",Open Access,Beach Park 1,,29876,1323,"Santa Monica, City of",City,City Agency,http://santa-monica.org/departments/ccs/content.aspx?id=32599,City,3.777,Beach Park 1
13386985,San Fernando Mission Boulevard,34.2719892001,-118.5842143,396.63057017,,6,,,"243/242(Los Angeles County Metropolitan Transportation Authority),","0.671,",,,,,,,,,,,,
13415967,Buzzard Peak Road,34.0527187004,-117.8523933,122.088277308,,6,,,"190(Foothill Transit),190(Foothill Transit),","0.703,0.677,",,,,,,,,,,,,
13434906,,34.0680360003,-118.2051006,51.7080112328,,6,,,"76(Los Angeles County Metropolitan Transportation Authority),78/79/378(Los Angeles County Metropolitan Transportation Authority),DASH Lincoln Heights/Chinatown(Los Angeles Department of Transportation),","0.264,0.255,0.452,",,,,,,,,,,,,
13456063,Limekiln Canyon Trail,34.2585486001,-118.5577272,878.444042561,,6,,,"158(Los Angeles County Metropolitan Transportation Authority),158(Los Angeles County Metropolitan Transportation Authority),243/242(Los Angeles County Metropolitan Transportation Authority),","0.133,0.163,0.298,",,,,,,,,,,,,
