X,Y,name,lat,lon,descr,length (m),route_names,walking_distances,shortest_walking_distance
-117.8883166,34.1560989,,34.156098900000003,-117.888316599999996,start,111.139603778743961,"Metro Gold Line (804)(Los Angeles County Metropolitan Transportation Authority),281(Foothill Transit),284(Foothill Transit),488(Foothill Transit),281(Foothill Transit),","3.578,3.831,3.831,3.831,4.244,",3.578
-117.887233,34.1564806,,34.156480600000002,-117.887232999999995,end,111.139603778743961,"281(Foothill Transit),281(Foothill Transit),284(Foothill Transit),488(Foothill Transit),Metro Gold Line (804)(Los Angeles County Metropolitan Transportation Authority),","4.355,3.942,3.942,3.942,3.689,",3.689
-118.172224,34.2125407,Arroyo Seco Road,34.212540699999998,-118.172224000000000,start,145.003058071832726,"52(Pasadena Transit),177(Los Angeles County Metropolitan Transportation Authority),268(Los Angeles County Metropolitan Transportation Authority),3(Glendale Beeline),32(Glendale Beeline),33(Glendale Beeline),","2.653,2.657,2.657,2.668,2.668,2.668,",2.653
-118.1734499,34.2128924,Arroyo Seco Road,34.212892400000001,-118.173449899999994,end,145.003058071832726,"52(Pasadena Transit),177(Los Angeles County Metropolitan Transportation Authority),268(Los Angeles County Metropolitan Transportation Authority),3(Glendale Beeline),32(Glendale Beeline),33(Glendale Beeline),","2.798,2.802,2.802,2.813,2.813,2.813,",2.798
-117.9287345,34.1526908,Firebreak,34.152690800000002,-117.928734500000004,start,4792.122915095767894,"185(Foothill Transit),187(Foothill Transit),494(Foothill Transit),185(Foothill Transit),187(Foothill Transit),494(Foothill Transit),187(Foothill Transit),494(Foothill Transit),","4.193,4.193,4.193,3.429,3.429,3.429,3.404,3.404,",3.404
-117.9405735,34.1791612,Firebreak,34.179161200000003,-117.940573499999999,end,4792.122915095767894,"187(Foothill Transit),494(Foothill Transit),187(Foothill Transit),494(Foothill Transit),187(Foothill Transit),494(Foothill Transit),","7.272,7.272,7.249,7.249,7.711,7.711,",7.249
-117.819286,34.1628563,,34.162856300000001,-117.819286000000005,start,694.427534815480612,"284(Foothill Transit),494(Foothill Transit),494(Foothill Transit),284(Foothill Transit),","4.973,4.973,4.979,4.979,",4.973
-117.825308,34.1607253,,34.160725300000003,-117.825308000000007,end,694.427534815480612,"284(Foothill Transit),494(Foothill Transit),494(Foothill Transit),284(Foothill Transit),","5.668,5.668,5.674,5.674,",5.668
-117.8183794,34.1545533,,34.154553300000003,-117.818379399999998,start,1702.448056727904259,"187(Foothill Transit),187(Foothill Transit),284(Foothill Transit),","6.429,6.457,4.77,",4.77
-117.8121513,34.1559743,,34.155974299999997,-117.812151299999996,end,1702.448056727904259,"187(Foothill Transit),187(Foothill Transit),187(Foothill Transit),","7.396,7.304,7.073,",7.073
