X,Y,name,lat,lon,descr,length (m),route_names,walking_distances,shortest_walking_distance
-121.561649172,48.215460903,,48.215460903000000,-121.561649172000003,start,4583.056109179604391,"230(Community Transit),230(Community Transit),230(Community Transit),","5.273,5.328,5.285,",5.273
-121.830519669,48.318718525,,48.318718525000016,-121.830519669000012,start,2997.733727048075707,"230(Community Transit),230(Community Transit),","7.597,7.618,",7.597
-121.700861532,48.237170525,,48.237170525000003,-121.700861531999962,start,1266.297018119468248,"230(Community Transit),230(Community Transit),230(Community Transit),","4.836,4.844,5.714,",4.836
-121.709618739,48.229084402,,48.229084401999962,-121.709618739000007,end,1266.297018119468248,"230(Community Transit),230(Community Transit),230(Community Transit),","5.984,5.976,6.854,",5.976
-121.852155556,48.312029058,,48.312029058000007,-121.852155555999985,start,2398.427924847502254,"230(Community Transit),","6.125,",6.125
-121.830519669,48.318718525,,48.318718525000016,-121.830519669000012,end,2398.427924847502254,"230(Community Transit),230(Community Transit),","7.597,7.618,",7.597
-121.698131567,48.246868401,,48.246868400999951,-121.698131567000033,start,633.148977166155873,"230(Community Transit),230(Community Transit),230(Community Transit),","2.927,2.935,3.804,",2.927
-121.699805194,48.242433494,,48.242433494000011,-121.699805193999993,end,633.148977166155873,"230(Community Transit),230(Community Transit),230(Community Transit),","4.156,4.163,5.033,",4.156
-121.699805194,48.242433494,,48.242433494000011,-121.699805193999993,start,633.246333223631382,"230(Community Transit),230(Community Transit),230(Community Transit),","4.156,4.163,5.033,",4.156
-121.700861532,48.237170525,,48.237170525000003,-121.700861531999962,end,633.246333223631382,"230(Community Transit),230(Community Transit),230(Community Transit),","4.836,4.844,5.714,",4.836
-121.569133801,48.218649382,,48.218649382000024,-121.569133801000007,start,1691.294129083068356,"230(Community Transit),230(Community Transit),230(Community Transit),","4.614,4.669,4.627,",4.614
-121.574289533,48.207034922,,48.207034922000027,-121.574289532999984,end,1691.294129083068356,"230(Community Transit),230(Community Transit),230(Community Transit),","6.217,6.272,6.23,",6.217
