X,Y,name,lat,lon,descr,length (m),route_names,walking_distances,shortest_walking_distance
-106.4006558,39.5648713,Two Elk Tr,39.564871300000000,-106.400655799999996,start,7381.684377463235251,"Leadville(ECO Transit),Minturn(ECO Transit),Minturn(ECO Transit),Leadville(ECO Transit),Minturn(ECO Transit),","4.572,4.572,6.083,3.576,3.576,",3.576
-106.0983287,39.5780789,,39.578078900000001,-106.098328699999996,start,237.316955810359218,"CDOT West Line (DAILY)(Bustang),","1.841,",1.841
-106.0961944,39.5790988,,39.579098799999997,-106.096194400000002,end,237.316955810359218,"CDOT West Line (DAILY)(Bustang),","1.604,",1.604
-106.0783177,39.5698183,Temple Trail,39.569818300000001,-106.078317699999999,start,6461.799264217637756,"CDOT West Line (DAILY)(Bustang),","3.402,",3.402
-106.0523399,39.5661759,,39.566175899999998,-106.052339900000007,start,2697.421586521451445,"CDOT West Line (DAILY)(Bustang),","5.919,",5.919
-106.0701973,39.6074783,,39.607478299999997,-106.070197300000004,start,59.964479045089796,"CDOT West Line (DAILY)(Bustang),","3.76,",3.76
-106.0695081,39.6074332,,39.607433200000003,-106.069508099999993,end,59.964479045089796,"CDOT West Line (DAILY)(Bustang),","3.82,",3.82
-106.0830655,39.6006369,,39.600636899999998,-106.083065500000004,start,110.667721950131465,"CDOT West Line (DAILY)(Bustang),","2.139,",2.139
-106.0820522,39.6001963,,39.600196300000000,-106.082052200000007,end,110.667721950131465,"CDOT West Line (DAILY)(Bustang),","2.25,",2.25
-106.096408,39.5845893,,39.584589299999998,-106.096407999999997,start,1529.046278886183245,"CDOT West Line (DAILY)(Bustang),","0.521,",0.521
-106.0952278,39.5907921,,39.590792100000002,-106.095227800000004,end,1529.046278886183245,"CDOT West Line (DAILY)(Bustang),","0.51,",0.51
-106.097932,39.5885473,,39.588547300000002,-106.097932000000000,start,130.121019204044217,"CDOT West Line (DAILY)(Bustang),","0.069,",0.069
-106.0977092,39.5873889,,39.587388900000001,-106.097709199999997,end,130.121019204044217,"CDOT West Line (DAILY)(Bustang),","0.133,",0.133
-106.0973438,39.5885105,,39.588510499999998,-106.097343800000004,start,91.071812997781038,"CDOT West Line (DAILY)(Bustang),","0.106,",0.106
-106.0983913,39.5883842,,39.588384200000000,-106.098391300000003,end,91.071812997781038,"CDOT West Line (DAILY)(Bustang),","0.015,",0.015
-106.0978127,39.5900585,,39.590058499999998,-106.097812700000006,start,221.143561166629610,"CDOT West Line (DAILY)(Bustang),","0.252,",0.252
-106.0982235,39.588403,,39.588403000000000,-106.098223500000003,end,221.143561166629610,"CDOT West Line (DAILY)(Bustang),","0.084,",0.084
-106.0982583,39.5781187,,39.578118699999997,-106.098258299999998,start,935.966802059813745,"CDOT West Line (DAILY)(Bustang),","1.834,",1.834
-106.1047863,39.5825408,,39.582540799999997,-106.104786300000001,end,935.966802059813745,"CDOT West Line (DAILY)(Bustang),","1.413,",1.413
-106.0976077,39.5865113,,39.586511299999998,-106.097607699999998,start,86.129963613077010,"CDOT West Line (DAILY)(Bustang),","0.284,",0.284
-106.0981702,39.5859718,,39.585971800000003,-106.098170199999998,end,86.129963613077010,"CDOT West Line (DAILY)(Bustang),","0.365,",0.365
-106.0847622,39.5730504,,39.573050400000000,-106.084762200000000,start,57.031784525650529,"CDOT West Line (DAILY)(Bustang),","2.455,",2.455
-106.0844051,39.5726481,,39.572648100000002,-106.084405099999998,end,57.031784525650529,"CDOT West Line (DAILY)(Bustang),","2.512,",2.512
-106.0849445,39.5738431,,39.573843099999998,-106.084944500000006,start,389.216349503304855,"CDOT West Line (DAILY)(Bustang),","2.409,",2.409
-106.0821133,39.5721766,,39.572176599999999,-106.082113300000003,end,389.216349503304855,"CDOT West Line (DAILY)(Bustang),","2.742,",2.742
-106.0616309,39.5804292,Buzzsaw,39.580429199999998,-106.061630899999997,start,2013.245866520534491,"CDOT West Line (DAILY)(Bustang),","4.973,",4.973
-106.0613188,39.5947593,Buzzsaw,39.594759300000000,-106.061318799999995,end,2013.245866520534491,"CDOT West Line (DAILY)(Bustang),","6.318,",6.318
-106.0642381,39.5797202,,39.579720199999997,-106.064238099999997,start,274.094706013150926,"CDOT West Line (DAILY)(Bustang),","4.705,",4.705
-106.0632131,39.5777486,,39.577748600000000,-106.063213099999999,end,274.094706013150926,"CDOT West Line (DAILY)(Bustang),","4.687,",4.687
-106.39101,39.5267302,,39.526730200000003,-106.391009999999994,start,363.706134481430638,"Leadville(ECO Transit),","6.746,",6.746
-106.3928085,39.5287605,,39.528760499999997,-106.392808500000001,end,363.706134481430638,"Leadville(ECO Transit),Leadville(ECO Transit),Minturn(ECO Transit),","6.383,7.761,7.761,",6.383
-106.4445082,39.606386,Line Shack,39.606386000000001,-106.444508200000001,end,8353.196993172532530,"Highway 6(ECO Transit),Leadville(ECO Transit),Minturn(ECO Transit),Leadville(ECO Transit),Minturn(ECO Transit),Leadville(ECO Transit),Minturn(ECO Transit),","0.159,0.159,0.159,1.896,1.896,1.887,1.887,",0.159
-106.45707,39.5790634,Meadow Mountain,39.579063400000003,-106.457070000000002,start,3981.228272011077479,"Highway 6(ECO Transit),Leadville(ECO Transit),Minturn(ECO Transit),","7.031,7.031,7.031,",7.031
-106.454941,39.591523,Meadow Mountain,39.591523000000002,-106.454941000000005,end,3981.228272011077479,"Highway 6(ECO Transit),Leadville(ECO Transit),Minturn(ECO Transit),Highway 6(ECO Transit),Highway 6(ECO Transit),","4.01,4.01,4.01,6.162,6.982,",4.01
-106.0971948,39.586637,,39.586637000000003,-106.097194799999997,start,128.828183840231048,"CDOT West Line (DAILY)(Bustang),","0.234,",0.234
-106.0983767,39.5868709,,39.586870900000001,-106.098376700000003,end,128.828183840231048,"CDOT West Line (DAILY)(Bustang),","0.262,",0.262
-106.593048,39.652909,,39.652909000000001,-106.593047999999996,start,979.587779145306968,"Highway 6(ECO Transit),Highway 6(ECO Transit),Highway 6(ECO Transit),","1.798,1.8,1.774,",1.774
-106.587949,39.657682,,39.657682000000001,-106.587948999999995,end,979.587779145306968,"Highway 6(ECO Transit),Highway 6(ECO Transit),Highway 6(ECO Transit),Valley  Commuter(ECO Transit),Western Circulator/Valley Express(ECO Transit),","3.025,3.087,2.399,2.399,2.399,",2.399
-106.0788266,39.5767191,Hole 15,39.576719099999998,-106.078826599999999,start,320.552462269053251,"CDOT West Line (DAILY)(Bustang),","3.122,",3.122
-106.0787382,39.577081,Hole 15,39.577081000000000,-106.078738200000004,end,320.552462269053251,"CDOT West Line (DAILY)(Bustang),","3.122,",3.122
-106.0703443,39.5766659,Balfonz Blitz,39.576665900000002,-106.070344300000002,start,850.406877742821621,"CDOT West Line (DAILY)(Bustang),","3.836,",3.836
-106.0676105,39.5783185,Balfonz Blitz,39.578318500000002,-106.067610500000001,end,850.406877742821621,"CDOT West Line (DAILY)(Bustang),","4.4,",4.4
-106.0674813,39.5782839,Jody's Loop,39.578283900000002,-106.067481299999997,start,265.356959616210986,"CDOT West Line (DAILY)(Bustang),","4.412,",4.412
-106.067184,39.576021,Jody's Loop,39.576020999999997,-106.067183999999997,end,265.356959616210986,"CDOT West Line (DAILY)(Bustang),","4.166,",4.166
-106.0657964,39.5852663,,39.585266300000001,-106.065796399999996,start,46.311077751713498,"CDOT West Line (DAILY)(Bustang),","5.231,",5.231
-106.0652646,39.585198,,39.585197999999998,-106.065264600000006,end,46.311077751713498,"CDOT West Line (DAILY)(Bustang),","5.237,",5.237
-106.0692903,39.5868396,Lakeshore Perimeter,39.586839599999998,-106.069290300000006,start,176.097716742840845,"CDOT West Line (DAILY)(Bustang),","5.3,",5.3
-106.0708226,39.5859197,Lakeshore Perimeter,39.585919699999998,-106.070822600000000,end,176.097716742840845,"CDOT West Line (DAILY)(Bustang),","5.124,",5.124
-106.0710973,39.5863174,Perimeter Trail,39.586317399999999,-106.071097300000005,start,2567.882082572499257,"CDOT West Line (DAILY)(Bustang),","5.114,",5.114
-106.084937,39.575033,Perimeter Trail,39.575032999999998,-106.084936999999996,end,2567.882082572499257,"CDOT West Line (DAILY)(Bustang),","2.542,",2.542
-106.07135,39.5740412,,39.574041200000003,-106.071349999999995,start,89.534903944395396,"CDOT West Line (DAILY)(Bustang),","3.69,",3.69
-106.0710419,39.5747882,,39.574788200000000,-106.071041899999997,end,89.534903944395396,"CDOT West Line (DAILY)(Bustang),","3.78,",3.78
-106.071488,39.569154,,39.569153999999997,-106.071488000000002,start,4227.841581709614729,"CDOT West Line (DAILY)(Bustang),","4.235,",4.235
-106.076939,39.542119,,39.542119000000000,-106.076938999999996,end,4227.841581709614729,"CDOT West Line (DAILY)(Bustang),","7.253,",7.253
-106.5186361,39.6079831,,39.607983099999998,-106.518636099999995,start,101.956431452268916,"Vail-Beaver Creek Express(ECO Transit),Highway 6(ECO Transit),Highway 6(ECO Transit),","0.563,3.802,3.824,",0.563
-106.5187188,39.6071303,,39.607130300000001,-106.518718800000002,end,101.956431452268916,"Vail-Beaver Creek Express(ECO Transit),Highway 6(ECO Transit),Highway 6(ECO Transit),","0.539,3.888,3.91,",0.539
-106.0801275,39.5738702,,39.573870200000002,-106.080127500000003,start,243.979699484640832,"CDOT West Line (DAILY)(Bustang),","2.887,",2.887
-106.0798859,39.5746516,,39.574651600000003,-106.079885899999994,end,243.979699484640832,"CDOT West Line (DAILY)(Bustang),","2.973,",2.973
-106.0986887,39.5688604,,39.568860399999998,-106.098688699999997,start,1516.621988503756711,"CDOT West Line (DAILY)(Bustang),","3.007,",3.007
-106.0917579,39.5624164,,39.562416399999996,-106.091757900000005,end,1516.621988503756711,"CDOT West Line (DAILY)(Bustang),","4.269,",4.269
-106.0926156,39.5932909,,39.593290900000000,-106.092615600000002,start,104.463716176026210,"CDOT West Line (DAILY)(Bustang),","1.034,",1.034
-106.0935543,39.5927642,,39.592764199999998,-106.093554299999994,end,104.463716176026210,"CDOT West Line (DAILY)(Bustang),","1.138,",1.138
-106.0761387,39.5801599,Hole 10,39.580159899999998,-106.076138700000001,start,263.313148758811735,"CDOT West Line (DAILY)(Bustang),","5.484,",5.484
-106.0758625,39.579887,Hole 10,39.579886999999999,-106.075862499999999,end,263.313148758811735,"CDOT West Line (DAILY)(Bustang),","5.472,",5.472
-106.0961944,39.5790988,,39.579098799999997,-106.096194400000002,start,315.456902008865939,"CDOT West Line (DAILY)(Bustang),","1.604,",1.604
-106.0932355,39.5791355,,39.579135500000000,-106.093235500000006,end,315.456902008865939,"CDOT West Line (DAILY)(Bustang),","1.289,",1.289
-106.1045414,39.5725531,Mount Royal Trail,39.572553100000000,-106.104541400000002,start,2544.961904823142959,"CDOT West Line (DAILY)(Bustang),","2.869,",2.869
-106.1096769,39.5687965,Mount Royal Trail,39.568796499999998,-106.109676899999997,end,2544.961904823142959,"CDOT West Line (DAILY)(Bustang),","5.416,",5.416
-106.463991,39.613565,,39.613565000000001,-106.463990999999993,start,1132.432850293316051,"Highway 6(ECO Transit),Highway 6(ECO Transit),Highway 6(ECO Transit),","1.212,1.972,1.979,",1.212
-106.4633345,39.6181615,,39.618161499999999,-106.463334500000002,end,1132.432850293316051,"Highway 6(ECO Transit),Highway 6(ECO Transit),Highway 6(ECO Transit),","0.079,0.839,0.846,",0.079
-106.48933,39.60948,EagleVail Trail,39.609479999999998,-106.489329999999995,start,989.291764393712015,"Highway 6(ECO Transit),Highway 6(ECO Transit),Highway 6(ECO Transit),","3.723,3.822,4.253,",3.723
-106.483001,39.612663,EagleVail Trail,39.612662999999998,-106.483001000000002,end,989.291764393712015,"Highway 6(ECO Transit),Highway 6(ECO Transit),Highway 6(ECO Transit),","2.832,3.38,3.374,",2.832
-106.508503,39.583574,,39.583573999999999,-106.508503000000005,start,5067.202233663439984,"Vail-Beaver Creek Express(ECO Transit),","6.156,",6.156
-106.5087039,39.6025354,,39.602535400000001,-106.508703900000000,end,5067.202233663439984,"Highway 6(ECO Transit),Highway 6(ECO Transit),Highway 6(ECO Transit),","6.613,6.637,6.256,",6.256
-106.5151613,39.6063132,,39.606313200000002,-106.515161300000003,start,643.013287517164599,"Vail-Beaver Creek Express(ECO Transit),Highway 6(ECO Transit),Highway 6(ECO Transit),","0.837,4.902,5.105,",0.837
-106.510598,39.6060817,,39.606081699999997,-106.510598000000002,end,643.013287517164599,"Highway 6(ECO Transit),Highway 6(ECO Transit),Highway 6(ECO Transit),","5.655,6.012,6.036,",5.655
-106.0806692,39.577642,Hole 6,39.577641999999997,-106.080669200000003,start,256.110591889768159,"CDOT West Line (DAILY)(Bustang),","2.848,",2.848
-106.0803257,39.5779356,Hole 6,39.577935600000004,-106.080325700000003,end,256.110591889768159,"CDOT West Line (DAILY)(Bustang),","2.848,",2.848
-106.3746704,39.6373073,,39.637307300000003,-106.374670399999999,start,15.894452308899574,"Highway 6(ECO Transit),Leadville(ECO Transit),Valley  Commuter(ECO Transit),Western Circulator/Valley Express(ECO Transit),Minturn(ECO Transit),Vail-Beaver Creek Express(ECO Transit),CDOT West Line (DAILY)(Bustang),Highway 6(ECO Transit),Leadville(ECO Transit),Valley  Commuter(ECO Transit),Western Circulator/Valley Express(ECO Transit),Vail-Beaver Creek Express(ECO Transit),","1.711,1.711,1.711,1.711,1.711,1.711,1.711,1.819,1.819,1.819,1.819,1.819,",1.711
-106.374518,39.637226,,39.637225999999998,-106.374517999999995,end,15.894452308899574,"Highway 6(ECO Transit),Leadville(ECO Transit),Valley  Commuter(ECO Transit),Western Circulator/Valley Express(ECO Transit),Minturn(ECO Transit),Vail-Beaver Creek Express(ECO Transit),CDOT West Line (DAILY)(Bustang),Highway 6(ECO Transit),Leadville(ECO Transit),Valley  Commuter(ECO Transit),Western Circulator/Valley Express(ECO Transit),Vail-Beaver Creek Express(ECO Transit),","1.695,1.695,1.695,1.695,1.695,1.695,1.695,1.803,1.803,1.803,1.803,1.803,",1.695
-106.0576959,39.5676328,Swan Mountain Rec Path,39.567632799999998,-106.057695899999999,start,520.785952044861915,"CDOT West Line (DAILY)(Bustang),","5.581,",5.581
-106.0523801,39.5663892,Swan Mountain Rec Path,39.566389200000003,-106.052380099999993,end,520.785952044861915,"CDOT West Line (DAILY)(Bustang),","5.912,",5.912
-106.0776515,39.5790208,,39.579020800000002,-106.077651500000002,start,228.693773962097453,"CDOT West Line (DAILY)(Bustang),","3.372,",3.372
-106.07765,39.579426,,39.579425999999998,-106.077650000000006,end,228.693773962097453,"CDOT West Line (DAILY)(Bustang),","3.372,",3.372
-106.5637707,39.617897,,39.617896999999999,-106.563770700000006,start,1082.423399818097323,"Highway 6(ECO Transit),Highway 6(ECO Transit),Highway 6(ECO Transit),","3.899,4.55,4.374,",3.899
-106.5607,39.6257914,,39.625791399999997,-106.560699999999997,end,1082.423399818097323,"Highway 6(ECO Transit),Highway 6(ECO Transit),Highway 6(ECO Transit),","3.539,2.888,3.558,",2.888
-106.07198,39.555608,,39.555607999999999,-106.071979999999996,start,3154.053198961066755,"CDOT West Line (DAILY)(Bustang),","5.57,",5.57
-106.06957,39.569511,,39.569510999999999,-106.069569999999999,end,3154.053198961066755,"CDOT West Line (DAILY)(Bustang),","4.065,",4.065
-106.5865802,39.6585762,,39.658576199999999,-106.586580200000000,start,738.735253631541354,"Highway 6(ECO Transit),Valley  Commuter(ECO Transit),Western Circulator/Valley Express(ECO Transit),Highway 6(ECO Transit),Highway 6(ECO Transit),","2.559,2.559,2.559,3.247,3.185,",2.559
-106.5870938,39.6540105,,39.654010499999998,-106.587093800000005,end,738.735253631541354,"Highway 6(ECO Transit),Valley  Commuter(ECO Transit),Western Circulator/Valley Express(ECO Transit),Highway 6(ECO Transit),Highway 6(ECO Transit),","3.298,3.298,3.298,3.986,3.924,",3.298
-106.1103149,39.5744238,,39.574423799999998,-106.110314900000006,start,88.862925514698077,"CDOT West Line (DAILY)(Bustang),","2.722,",2.722
-106.1109955,39.5749468,,39.574946799999999,-106.110995500000001,end,88.862925514698077,"CDOT West Line (DAILY)(Bustang),","2.694,",2.694
-106.395153,39.530504,,39.530504000000001,-106.395152999999993,start,2303.856416897296185,"Leadville(ECO Transit),Minturn(ECO Transit),Minturn(ECO Transit),Leadville(ECO Transit),","7.438,7.438,7.871,6.06,",6.06
-106.0759534,39.5797611,Hole 12,39.579761099999999,-106.075953400000003,start,203.441293532582904,"CDOT West Line (DAILY)(Bustang),","5.472,",5.472
-106.0759164,39.5791214,Hole 12,39.579121399999998,-106.075916399999997,end,203.441293532582904,"CDOT West Line (DAILY)(Bustang),","5.472,",5.472
-106.097996,39.5691268,,39.569126799999999,-106.097995999999995,start,547.053122605823432,"CDOT West Line (DAILY)(Bustang),","2.938,",2.938
-106.1029086,39.5708311,,39.570831099999999,-106.102908600000006,end,547.053122605823432,"CDOT West Line (DAILY)(Bustang),","3.123,",3.123
-106.1019924,39.5648777,,39.564877699999997,-106.101992400000000,start,118.104238946818754,"CDOT West Line (DAILY)(Bustang),","3.779,",3.779
-106.1023258,39.5658924,,39.565892400000003,-106.102325800000003,end,118.104238946818754,"CDOT West Line (DAILY)(Bustang),","3.726,",3.726
-106.1005797,39.5694185,,39.569418499999998,-106.100579699999997,start,732.619658407703469,"CDOT West Line (DAILY)(Bustang),","3.016,",3.016
-106.1017667,39.5646739,,39.564673900000003,-106.101766699999999,end,732.619658407703469,"CDOT West Line (DAILY)(Bustang),","3.75,",3.75
-106.0906463,39.5630467,,39.563046700000001,-106.090646300000003,start,96.630450413912598,"CDOT West Line (DAILY)(Bustang),","4.146,",4.146
-106.0901297,39.5637225,,39.563722499999997,-106.090129700000006,end,96.630450413912598,"CDOT West Line (DAILY)(Bustang),","4.05,",4.05
-106.0976052,39.5689307,,39.568930700000003,-106.097605200000004,start,211.760431282389561,"CDOT West Line (DAILY)(Bustang),","2.898,",2.898
-106.0956149,39.5691331,,39.569133100000002,-106.095614900000001,end,211.760431282389561,"CDOT West Line (DAILY)(Bustang),","2.686,",2.686
-106.0715275,39.6051579,,39.605157900000002,-106.071527500000002,start,119.337451178568955,"CDOT West Line (DAILY)(Bustang),","3.303,",3.303
-106.0703164,39.6047374,,39.604737399999998,-106.070316399999996,end,119.337451178568955,"CDOT West Line (DAILY)(Bustang),","3.422,",3.422
-106.0774615,39.5771513,,39.577151299999997,-106.077461499999998,start,192.900129163873942,"CDOT West Line (DAILY)(Bustang),","3.366,",3.366
-106.0772976,39.5769507,,39.576950699999998,-106.077297599999994,end,192.900129163873942,"CDOT West Line (DAILY)(Bustang),","3.365,",3.365
-106.0788989,39.5750196,,39.575019599999997,-106.078898899999999,start,201.340318119459880,"CDOT West Line (DAILY)(Bustang),","3.054,",3.054
-106.0788776,39.5752658,,39.575265799999997,-106.078877599999998,end,201.340318119459880,"CDOT West Line (DAILY)(Bustang),","3.067,",3.067
-106.0746425,39.5799772,,39.579977200000002,-106.074642499999996,start,174.216164035047484,"CDOT West Line (DAILY)(Bustang),","5.472,",5.472
-106.0744571,39.5801797,,39.580179700000002,-106.074457100000004,end,174.216164035047484,"CDOT West Line (DAILY)(Bustang),","5.472,",5.472
-106.494911,39.623058,,39.623058000000000,-106.494911000000002,start,861.884201319322301,"Highway 6(ECO Transit),Highway 6(ECO Transit),Highway 6(ECO Transit),","0.087,0.097,1.458,",0.087
-106.5045641,39.624457,,39.624457000000000,-106.504564099999996,end,861.884201319322301,"Highway 6(ECO Transit),Highway 6(ECO Transit),Highway 6(ECO Transit),","0.613,0.375,0.399,",0.375
-106.5354097,39.6346107,,39.634610700000003,-106.535409700000002,start,68.011161520839352,"Highway 6(ECO Transit),Highway 6(ECO Transit),Highway 6(ECO Transit),","0.286,0.335,0.462,",0.286
-106.5347429,39.6347258,,39.634725799999998,-106.534742899999998,end,68.011161520839352,"Highway 6(ECO Transit),Highway 6(ECO Transit),Highway 6(ECO Transit),","0.218,0.343,0.394,",0.218
-106.563914,39.624792,,39.624791999999999,-106.563913999999997,start,2516.972809657331254,"Highway 6(ECO Transit),Highway 6(ECO Transit),Highway 6(ECO Transit),","2.578,3.229,3.053,",2.578
-106.551073,39.621456,,39.621456000000002,-106.551073000000002,end,2516.972809657331254,"Highway 6(ECO Transit),Highway 6(ECO Transit),Highway 6(ECO Transit),","5.748,5.767,5.748,",5.748
-106.5657377,39.6173193,,39.617319299999998,-106.565737700000000,start,609.133271719162849,"Highway 6(ECO Transit),Highway 6(ECO Transit),Highway 6(ECO Transit),","3.956,4.607,4.431,",3.956
